fag;muntlig;skriftlig1;dato1;skriftlig2;dato2
Biologi 1;REA3035;;;;
Biologi 2;REA3037;REA3036;Tor 7.mai 2026;;
Engelsk vg1;ENG1008;ENG1007;Ons 20. mai 2026;;
Engelsk 1 Programfag;SPR3030;SPR3029;Ons 20. mai 2026;;
Engelsk 2 Programfag;SPR3032;SPR3031;Ons 6. mai 2026;;
Fransk l Fellesfag;FSP6150;FSP6149;Tir 19. mai 2026;;
Fransk l Programfag;PSP5797;PSP5796;Tir 19. mai 2026;;
Fransk ll Fellesfag;FSP6153;FSP6152;Ons 20. mai 2026;;
Fransk ll Programfag;PSP5799;PSP5798;Ons 20. mai 2026;;
Fransk lll Programfag;PSP5801;PSP5800;Man 4. mai 2026;;
Fysikk 1;REA3038;;;;
Fysikk 2;REA3040;REA3039;Fre 8. mai 2026;;
Geofag 1;REA3042;;;;
Geofag 2;REA3044;REA3043;Tir12. mai 2026;;
Geografi;GEO1003;;;;
Historie påbygg;HIS1011;;;;
Historie vg3 (studiespes);HIS1010;;;;
Kjemi 1;REA3045;;;;
Kjemi 2;REA3047;REA3046;Tir 12. mai 2026;;
Kroppsøving vg3;KRO1019;;;;
Markedsføring og ledelse 1;SAM3045;;;;
Markedsføring og ledelse 2;;SAM3046;Fre 8. mai 2026;;
Matematikk 1P;;MAT1019;Tir 19. mai 2026;;
Matematikk 1PY HS;;MAT1117;Tir 19. mai 2026;;
Matematikk 1T;;MAT1021;Tir 19. mai 2026;;
Matematikk 2P;;MAT1023;Tor 21. mai 2026;;
Matematikk 2PY;;MAT1151;Tor 21. mai 2026;;
Matematikk R1;;REA3056;Tor 21. mai 2026;;
Matematikk R2;;REA3058;Ons 13. mai 2026;;
Matematikk S1;;REA3060;Tor 21. mai 2026;;
Matematikk S2;;REA3062;Ons 13. mai 2026;;
Medie- og informasjonskunnskap 1;SAM3048;;;;
Medie- og informasjonskunnskap 2;;SAM3049; Ons 13. mai 2026;;
Naturfag påbygg;NAT1018;;;;
Naturfag vg1 studiespes;NAT1007;;;;
Norsk studiespes;NOR1269;NOR1267 - Hovedmål;Tir 5. mai 2026;NOR1268 - Sidemål;Man 11. mai 2026
Norsk påbygg;NOR1272;NOR1270 - Hovedmål;Tir 5. mai 2026;NOR1271 - Sidemål;Man 11. mai 2026
Norsk kort botid påbygg;NOR1423;NOR1422;Tir 5. mai 2026;;
Norsk kort botid studiespes;NOR1421;NOR1420;5. mai 2026;;
Psykologi 1 ;SAM3072;;;;
Psykologi 2;;SAM3073;Man 4. mai 2026;;
Religion;REL1003;;;;
Rettslære 1;SAM3057;;;;
Rettslære 2;;SAM3058;Ons 13. mai 2026;;
Samfunnsgeografi;SAM3053;;;;
Samfunnskunnskap;SAK1001;;;;
Sosiologi og sosialantropologi;SAM3054;;;;
Sosialkunnskap;;SAM3051;Ons 6. mai 2026;;
Spansk l fellesfag;FSP6220;FSP6219;Tir 19. mai 2026;;
Spansk l programfag;PSP5827;PSP5826;Tir 19. mai 2026;;
Spansk ll fellesfag;FSP6223;FSP6222;Ons 20. mai 2026;;
Spansk ll programfag;PSP5829;PSP5828;Ons 20. mai 2026;;
Spansk lll Programfag;PSP5831;PSP5830;Man 4. mai 2026;;
Tannhelsesekretær - Smittevern, tannanatomi og fysiologi;;TAN3005;Man 11. mai 2026;;
Tannhelsesekretær - Kommunikasjon og samhandling;;TAN3006;Tirs 12. mai 2026;;
Tannhelsesekretær - Yrkesliv i tannhelsesekretærfaget;;TAN3007;Ons 6. mai 2026;;
Tannhelsesekretær - Tverrfaglig eksamen;TAN3008;;;;
Tysk I programfag;PSP5839;PSP5838;Tir 19. mai 2026;;
Tysk l fellesfag;FSP6240;FSP6239;Tir 19. mai 2026;;
Tysk ll fellesfag;FSP6242;FSP6242;Ons 20. mai 2026;;
Tysk ll programfag;PSP5841;PSP5840;Ons 20. mai 2026;;
Tysk lll programfag;PSP5843;PSP5842;Man 4. mai 2026;;
